altitude,velocity,angle,time,error
0,170,31,14.76999999999973,1.2944391465273384
100,170,30,14.409999999999737,8.03822534427809
200,170,30,14.439999999999737,0.8890310299711928
300,170,29,14.069999999999744,9.680059225366449
400,170,29,14.099999999999744,2.592202894265938
500,160,39,17.039999999999864,9.572834858037595
600,160,37,16.399999999999764,9.62563871764769
700,160,36,16.079999999999714,8.718866820923722
800,160,35,15.759999999999708,8.94085869121568
900,160,35,15.779999999999708,2.7650897745320435
